1543778815.615829,190,('10.0.0.1', 55214),
1543778826.139719,192,('10.0.0.1', 53045),
1543778850.158058,188,('10.0.0.1', 63073),
1543778875.588537,186,('10.0.0.1', 52990),
1543778886.100258,186,('10.0.0.1', 61115),
1543778899.6626508,186,('10.0.0.1', 56546),
1543778927.231516,179,('10.0.0.1', 57069),
1543778937.2483132,180,('10.0.0.1', 50729),
1543778966.986565,174,('10.0.0.1', 57665),
1543778977.5067048,174,('10.0.0.1', 57923),
1543779000.1206589,163,('10.0.0.1', 55316),
1543779012.153595,163,('10.0.0.1', 61801),
1543779036.792025,155,('10.0.0.1', 61872),
1543779046.837149,155,('10.0.0.1', 56881),
1543779076.1281972,147,('10.0.0.1', 57160),
1543779099.075386,145,('10.0.0.1', 61565),
1543779122.676886,142,('10.0.0.1', 52445),
1543779144.6901171,142,('10.0.0.1', 65358),
1543779168.362907,141,('10.0.0.1', 61159),
1543779189.566719,138,('10.0.0.1', 58492),
1543779217.333794,136,('10.0.0.1', 61145),
1543779227.364674,137,('10.0.0.1', 64694),
1543779253.299911,131,('10.0.0.1', 56409),
1543779282.250359,124,('10.0.0.1', 58860),
1543779309.794753,119,('10.0.0.1', 59143),
1543779319.834281,120,('10.0.0.1', 63666),
1543779348.835812,116,('10.0.0.1', 51976),
1543779373.637307,108,('10.0.0.1', 55658),
1543779401.46308,101,('10.0.0.1', 56540),
1543779411.4744818,102,('10.0.0.1', 64259),
1543779438.116479,90,('10.0.0.1', 51454),
1543779448.6453938,90,('10.0.0.1', 57582),
1543779471.466093,83,('10.0.0.1', 63950),
1543779482.475553,83,('10.0.0.1', 56704),
1543779502.288772,82,('10.0.0.1', 61709),
1543779526.430582,81,('10.0.0.1', 59636),
1543779548.679283,78,('10.0.0.1', 54629),
1543779560.782157,78,('10.0.0.1', 62736),
1543779580.5037599,67,('10.0.0.1', 63017),
1543779591.052704,67,('10.0.0.1', 60298),
1543779611.275599,64,('10.0.0.1', 63487),
1543779623.310417,64,('10.0.0.1', 60886),
1543779646.531162,63,('10.0.0.1', 54229),
1543779668.5818949,60,('10.0.0.1', 57029),
1543779691.958582,58,('10.0.0.1', 59749),
1543779713.3820438,56,('10.0.0.1', 63419),
1543779736.6858509,52,('10.0.0.1', 64822),
1543779747.210777,53,('10.0.0.1', 55041),
1543779768.187058,48,('10.0.0.1', 65226),
1543779789.035037,41,('10.0.0.1', 61041),
1543779804.56911,42,('10.0.0.1', 52397),
1543779825.154826,39,('10.0.0.1', 63714),
1543779848.33566,38,('10.0.0.1', 51995),
1543779872.0994549,33,('10.0.0.1', 51568),
1543779892.0513248,26,('10.0.0.1', 53123),
1543779909.527851,20,('10.0.0.1', 50842),
1543779929.234112,19,('10.0.0.1', 61554),
1543779951.312057,12,('10.0.0.1', 63670),
1543779961.84736,13,('10.0.0.1', 59627),
1543779971.901,14,('10.0.0.1', 61103),
1543779991.598612,9,('10.0.0.1', 58239),
1543780014.136606,7,('10.0.0.1', 51772),
1543780029.173271,1,('10.0.0.1', 58564),
1543780041.193417,1,('10.0.0.1', 57475),
