,time2,group,price
0,0,2,29
1,0,3,36
2,20,2,54
3,20,3,64
4,40,2,34
5,40,3,39
6,60,2,202
7,60,3,189
8,80,2,120
9,80,3,126
10,100,2,111
11,100,3,112
12,120,2,86
13,120,3,92
14,140,2,86
15,140,3,75
16,160,2,55
17,160,3,51
18,180,3,26
19,200,3,123
20,220,3,407
21,240,3,150
22,260,3,142
23,280,3,106
24,300,3,99
25,320,2,2
26,320,3,73
27,340,1,125
28,340,2,107
29,340,3,57
30,360,1,33
31,360,2,38
32,360,3,45
33,380,1,142
34,380,2,125
35,380,3,153
36,400,1,118
37,400,2,116
38,400,3,111
39,420,1,99
40,420,2,87
41,420,3,86
42,440,1,84
43,440,2,80
44,440,3,81
45,460,1,88
46,460,2,80
47,460,3,82
48,480,1,58
49,480,2,61
50,480,3,57
